buggy_AG,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,1,1,1,0,2,2,688,0,18,53.95,117,182,97.46,36
clean,clean,2,6,6,2.45915,11,37,742,0,9,130.4,13.83,183,98.45,6
clean,clean,1,2,2,0.605187,81,0,148.5,0,7,29.03,15.5,1480,679.14,83
clean,clean,1,6,22,3.79977,56,58,173.27,0,18,24.5,9.95,1481,680.09,1194
clean,clean,1,13,15,2.23116,196,189,264.87,0,17,17.24,17.4,1482,681.08,1195
clean,clean,1,6,6,1.8602,108,60,348.83,0,12,12.16,28,1483,681.75,1196
clean,clean,1,1,1,0,5,5,105,0,2,0.42,2,235,91.12,134
clean,clean,1,5,10,2.03716,1753,49,299.9,0,6,17.8,4.2,2,1.97,1
clean,clean,1,5,10,2.03716,1753,49,299.9,0,7,17.81,4.3,62,51.08,24
clean,clean,1,9,10,2.51264,258,163,280.1,0,10,13.67,20.3,1484,682.35,1197
clean,clean,1,4,4,1.1673,225,20,84,0,1,14.09,2.75,595,348.7,56
clean,clean,1,3,3,1.43792,519,483,161,0,1,16.47,6.33,596,349.7,57
clean,clean,1,5,12,3.34115,0,1761,193.83,0,8,24.92,4.83,1485,683.3,1198
clean,clean,2,5,5,1.72405,23,18,132.2,0,5,12.37,6.6,1486,684.19,1314
clean,clean,2,15,18,3.0829,927,10,47.44,0,10,7.18,3.06,21,18.11,4
clean,clean,1,1,1,0,3,0,5,0,3,432.78,3,184,99.08,37
clean,clean,1,1,1,0,1,1,1261,0,14,10.94,122,597,349.92,105
clean,clean,1,2,2,0.439497,3,8,135.5,0,8,31.04,18.5,444,151.76,333
clean,clean,1,1,1,0,19,16,595,1,7,31.06,13,445,152.76,334
clean,clean,1,3,14,3.41351,0,1689,120.64,0,5,31.83,0.64,63,51.82,48
clean,clean,5,38,44,4.3315,2151,962,155.23,0,21,19.35,9.2,64,52.82,80
clean,clean,1,14,14,3.21059,57,57,50,0,3,28.48,0.71,3,2.96,2
clean,clean,2,6,18,2.53258,738,15,98.33,0,1,9.36,1.5,598,350.11,76
clean,clean,1,1,1,0,0,6,89,0,1,0,9,599,351.11,59
clean,clean,1,1,1,0,2,2,210,0,1,0.06,4,600,352.06,19
clean,clean,1,1,1,0,1,1,174,0,1,0.08,1,601,353.05,60
buggy,buggy,1,6,17,3.65746,0,1429,92.76,0,2,31.38,1.18,602,354.04,61
clean,clean,2,10,10,2.53999,68,68,282.9,0,15,19.38,17.5,1487,682.37,172
clean,clean,1,1,1,0,3,3,1261,0,14,0.03,124,1488,683.34,57
clean,clean,1,1,1,0,4,0,1261,0,14,0.01,125,603,354.42,106
clean,clean,1,2,2,0.979869,88,56,130.5,0,1,8.19,3,604,355.42,20
clean,clean,1,1,1,0,1,1,324,0,7,6.19,21,745,277.84,64
clean,clean,1,5,5,2.31935,5,63,334.6,0,4,14.05,1.6,605,356.19,11
clean,clean,1,1,1,0,6,1,174,0,1,1.76,2,606,356.72,62
clean,clean,1,1,1,0,6,1,1265,0,14,0.96,126,607,357.69,107
clean,clean,1,2,3,1.30179,71,33,132.33,0,1,17.35,5,608,358.69,63
clean,clean,1,2,2,0.543564,6,2,165,0,1,8.73,6.5,609,359.69,21
clean,clean,1,1,1,0,2,2,31,0,1,0.02,2,610,360.67,64
clean,clean,1,1,1,0,1,1,611,0,6,4.34,27,4,3.93,2
clean,clean,1,5,8,2.62611,230,9,71.25,1,3,8.85,3.25,236,91.54,0
clean,clean,1,2,2,0.503258,11,7,217.5,1,6,26.77,9,1489,682.51,1200
clean,clean,2,5,6,2.37095,9,11,168.67,0,13,28.29,9.17,1490,683.5,1285
buggy,buggy,1,11,22,4.28571,341,274,111.18,0,4,17.68,2.09,611,360.89,65
clean,clean,1,1,1,0,3,3,76,0,1,0.02,8,613,362.87,66
clean,clean,1,1,1,0,1,1,158,0,3,0.03,18,614,363.87,67
clean,clean,1,1,1,0,34,2,76,0,1,0.01,9,615,364.86,68
buggy,buggy,1,1,1,0,11,11,324,0,7,2.06,22,112,81.62,9
clean,clean,3,20,23,3.36135,709,158,128.35,0,16,8.19,6.65,237,92.33,151
clean,clean,1,1,2,0.999644,46,44,192,0,21,19.94,27,746,277.51,65
clean,clean,1,1,1,0,0,510,510,0,2,269.85,10,616,364.32,108
clean,clean,1,1,2,0.99403,6,5,6.5,0,4,222.42,2,617,365.32,109
buggy,buggy,1,1,1,0,5,0,254,0,2,19.85,9,618,366.3,13
clean,clean,1,1,1,0,1,1,324,0,8,0.06,24,619,367.29,110
clean,clean,1,1,1,0,27,8,62,0,17,0.12,32,747,278.47,66
clean,clean,3,17,35,4.50042,1444,1978,113.86,0,16,23.24,5.49,1491,682.31,1377
clean,clean,2,2,5,1.92924,60,63,252.4,1,14,39.07,20.4,18,14.39,17
clean,clean,4,30,32,3.98554,1856,525,140.69,0,17,49.28,5.78,19,15.37,7
clean,clean,1,1,1,0,2,2,156,0,3,0.18,6,1492,682.25,90
clean,clean,1,1,1,0,4,0,95,0,5,1.08,19,1493,683.25,118
clean,clean,1,2,2,0.940286,6,8,77.5,0,2,12.58,4.5,1494,684.25,119
clean,clean,1,1,1,0,16,1,77,0,5,45.01,13,1495,685.25,120
clean,clean,1,2,2,0.721928,7,3,9,0,1,40.39,1,620,367.26,14
clean,clean,0,0,0,0,0,0,0,0,0,0,0,621,368.26,0
clean,clean,1,3,3,1.37095,7,3,9.67,0,1,26.93,1,622,369.25,15
clean,clean,1,2,4,1.79554,70,8,222.25,0,2,2.57,3,623,370.21,69
clean,clean,1,2,9,0,0,0,194.56,0,4,2.29,2.33,624,371.21,70
clean,clean,1,3,10,2.27281,34,10,184,0,4,0.39,2.2,625,372.17,71
clean,clean,1,1,1,0,5,0,259,0,2,5.43,2,22,18.73,1
clean,clean,1,1,1,0,4,4,324,0,8,1.78,25,190,119.65,23
clean,clean,1,1,1,0,10,5,1300,0,14,0.82,130,748,278.88,67
clean,clean,1,1,1,0,2,2,324,0,9,0.01,26,191,120.65,24
buggy,buggy,1,1,1,0,16,7,170,0,4,14.8,14,1496,685.59,121
clean,clean,1,1,1,0,18,12,173,0,4,12.81,15,1497,686.58,122
clean,clean,1,1,1,0,5,1,92,0,4,1.4,7,749,279.85,14
clean,clean,1,1,1,0,61,27,665,0,9,39.02,40,626,372.68,314
clean,clean,1,5,5,2.14046,36,41,258.8,0,9,1.41,4.8,1498,687.04,123
clean,clean,1,1,1,0,2,2,51,0,1,3.2,1,238,92.96,7
clean,clean,1,4,5,1.77681,173,136,490.6,1,17,8.85,50.6,239,93.96,136
clean,clean,1,1,1,0,37,5,274,0,1,7.94,19,627,372.94,72
clean,clean,1,1,1,0,6,1,147,0,8,39.99,14,628,373.91,315
clean,clean,1,2,2,0.485461,114,0,120.5,0,1,5.13,4.5,629,374.79,73
clean,clean,1,1,2,0.922619,201,27,153,0,1,0.1,10,630,375.79,74
clean,clean,1,2,2,0.758988,78,77,328,0,1,0.02,14,631,376.77,75
clean,clean,1,1,1,0,10,0,1305,0,14,1.41,131,632,377.77,111
clean,clean,1,5,5,2.32193,5,5,108.4,0,4,9.37,1.6,5,4.85,0
clean,clean,2,2,2,0.650022,12,6,84.5,0,7,28.38,13.5,1499,687.04,1327
clean,clean,1,1,1,0,1,1,753,0,9,10.96,109,1500,687.61,1204
clean,clean,1,1,1,0,2,67,212,0,2,2.88,12,633,377.87,76
clean,clean,1,1,1,0,0,14,384,0,1,1.12,22,634,378.86,77
clean,clean,2,2,2,0.798244,47,15,189.5,0,5,13.88,10,1501,688.02,216
clean,clean,1,1,1,0,3,3,81,0,17,4.41,33,185,98.42,38
clean,clean,1,1,1,0,1,1,1315,0,14,1.71,132,635,379.39,112
clean,clean,1,2,2,0,7,9,90,0,3,15.03,9,636,380.39,38
clean,clean,1,1,1,0,9,2,110,0,1,18.11,1,637,381.39,39
clean,clean,2,2,2,0.413817,2,22,815,0,14,2.74,67.5,638,382.37,429
clean,clean,1,2,3,0.33729,7,9,30,0,2,12.04,3.67,639,383.37,40
clean,clean,1,1,1,0,1,0,0,0,0,0,0,640,384.37,41
buggy,buggy,1,1,1,0,1,0,0,0,0,0,0,641,385.37,42
clean,clean,4,8,15,2.25114,2149,29,140.4,0,15,9.39,10.67,642,386.35,489
clean,clean,0,0,0,0,0,0,0,0,0,0,0,643,387.3,0
clean,clean,1,1,1,0,1,1,154,0,4,0.07,10,644,388.3,318
clean,clean,1,1,1,0,63,2,76,0,1,0.08,1,645,389.29,319
clean,clean,1,1,1,0,3,4,753,0,9,1.57,110,1502,688.06,1205
clean,clean,1,5,12,2.57668,12,60,194,0,2,9.49,4.58,646,389.41,78
clean,clean,1,2,2,1,2,2,224,0,3,1.39,6,647,390.41,17
clean,clean,1,1,1,0,1,1,151,1,7,43.61,16,0,0,0
clean,clean,1,1,1,0,0,2,106,0,1,0.88,3,648,390.67,79
clean,clean,1,1,1,0,20,0,65,0,2,5.57,6,649,391.67,80
clean,clean,1,1,1,0,1,1,127,0,6,11.05,18,1503,687.52,126
clean,clean,2,2,3,1.34722,16,2,198.33,0,4,18.9,4.33,1504,687.51,1333
buggy,buggy,1,1,1,0,6,2,181,0,2,2.41,7,20,16.1,3
clean,clean,1,1,1,0,1,1,1327,0,14,4.06,135,446,151.37,24
clean,clean,1,1,1,0,1,1,249,0,9,46.06,30,447,152.36,335
clean,clean,2,2,2,0.831474,26,12,706,0,14,1.17,69.5,650,390.84,196
clean,clean,1,1,1,0,6,0,130,0,1,28.84,4,651,391.76,22
clean,clean,2,63,63,4.59212,191,189,119.92,0,21,31.64,5.22,1,0.99,0
clean,clean,1,1,1,0,0,1,370,0,1,4.26,24,652,391.84,82
clean,clean,1,1,1,0,0,1,371,0,1,4.26,17,653,392.84,83
clean,clean,2,10,10,2.64107,10,46,84,0,5,16.22,1.5,23,19.27,7
clean,clean,2,14,29,3.97998,440,224,197.9,0,18,29.79,14.31,1505,683.65,1335
clean,clean,1,2,4,0.167721,1021,982,404.5,1,1,20.49,0.25,2,1.97,0
clean,clean,1,1,1,0,1,1,633,0,6,25.65,24,3,2.97,1
clean,clean,1,1,1,0,1,1,65,0,4,35.73,9,4,3.97,2
clean,clean,1,1,1,0,1,119,141,0,2,51.84,4,750,276.45,612
clean,clean,3,24,30,3.74543,573,215,211.3,0,20,13.23,10.4,1506,682.55,1429
clean,clean,1,1,1,0,13,1,1329,0,15,5.56,138,1507,683.23,59
clean,clean,2,4,4,1.72265,45,42,109.25,0,6,10.51,9.75,1508,684.22,1339
clean,clean,1,1,1,0,1,1,1341,0,15,0.03,139,1509,685.2,60
clean,clean,1,1,1,0,1,1,633,1,7,2.63,25,5,4.94,3
clean,clean,1,1,1,0,12,10,611,1,8,99.73,23,21,16.78,17
clean,clean,1,1,1,0,6,4,723,1,9,24.56,30,22,17.78,18
clean,clean,2,5,25,3.06175,606,412,134.32,1,9,48.25,1.8,9,7.66,1
clean,clean,0,0,0,0,0,0,0,0,0,0,0,10,8.66,0
clean,clean,1,3,3,0.936307,138,13,48.67,1,4,10.2,4.33,751,276.73,613
clean,clean,1,1,1,0,11,0,230,0,5,1.98,18,752,277.71,28
clean,clean,1,1,1,0,18,6,725,1,10,1.43,31,753,278.37,614
clean,clean,1,3,3,1.50141,71,28,292.67,1,8,58.43,10,1510,680.41,1210
clean,clean,1,1,1,0,3,3,369,0,1,11.66,25,654,384.32,84
clean,clean,4,9,9,2.41312,25,46,249,0,15,32.56,18.78,192,117.31,93
clean,clean,3,3,3,1.58496,3,3,533,0,15,19.81,51.67,193,118.3,86
clean,clean,1,2,2,0.650022,3,3,44.5,0,5,36.51,7,754,277.72,29
clean,clean,1,1,1,0,1,1,240,0,6,60,22,655,384.5,320
clean,clean,1,1,1,0,2,1,107,0,2,21.6,8,656,385.5,85
clean,clean,2,11,11,0.782211,124,82,242.91,0,6,34.55,2.09,657,386.5,104
clean,clean,1,1,1,0,1,3,1341,0,15,1.08,142,658,387.19,116
clean,clean,1,1,1,0,1,6,152,0,2,34.3,9,659,388.19,117
clean,clean,2,2,2,0.957554,17,12,708,0,15,21.78,75,660,389.09,439
clean,clean,1,2,3,1.49492,21,1,136.67,0,9,51.29,7,23,18.49,19
clean,clean,1,1,6,2.4795,96,96,650.33,1,7,46.66,2,24,19.49,20
clean,clean,1,1,1,0,0,1,26,0,1,43.84,4,661,389.75,322
clean,clean,1,1,1,0,67,26,84,0,5,61.1,9,755,278.33,615
clean,clean,1,1,1,0,1,0,7,0,2,61.14,4,662,390.58,323
clean,clean,1,1,1,0,0,8,8,0,2,0,5,663,391.58,324
clean,clean,1,3,5,1.63851,73,32,726.4,0,12,33.28,15.8,664,392.58,325
clean,clean,3,20,32,2.59823,433,98,228.03,0,18,36.58,9.72,756,279.02,714
clean,clean,0,0,0,0,0,0,0,0,0,0,0,757,280.02,0
clean,clean,1,3,3,1.14883,41,16,154.67,1,5,62.84,7.33,1511,677.21,1211
clean,clean,1,1,1,0,3,0,100,0,3,62.91,9,666,393.14,327
clean,clean,1,1,1,0,0,3,65,0,7,62.92,12,667,394.14,328
clean,clean,1,1,2,0.989822,159,18,289,0,1,9.93,6.5,668,395.14,88
clean,clean,1,1,1,0,106,34,641,0,1,0.13,14,669,396.03,89
clean,clean,2,2,2,0.859532,21,32,738,0,15,2.6,75,25,20.3,6
clean,clean,1,1,1,0,1,1,96,0,4,25.99,8,113,77.87,9
clean,clean,1,1,2,0.981152,146,9,897,1,5,1.84,14.5,6,5.49,0
clean,clean,1,2,2,0.99403,11,0,95.5,0,4,3.39,7,758,280,31
clean,clean,1,1,1,0,0,1,93,0,2,3.86,8,670,395.39,44
clean,clean,3,22,35,5.08604,66,69,64.6,0,10,42.03,1.66,671,396.37,418
clean,clean,1,1,1,0,0,5,52,0,2,65.07,3,1512,676.1,1212
clean,clean,1,1,1,0,22,20,81,0,17,23.8,34,759,280.91,69
clean,clean,1,1,1,0,11,13,1841,0,6,1.09,30,7,6.47,1
clean,clean,2,10,11,2.62832,444,95,110.27,0,6,118.95,3,658,333.42,254
clean,clean,1,1,1,0,0,9,71,0,8,19.28,21,760,281.61,32
clean,clean,1,1,1,0,35,2,125,0,2,23.14,14,672,396.46,90
buggy,buggy,1,1,1,0,2,9,713,0,1,3.14,15,673,397.46,91
clean,clean,1,1,1,0,0,1,304,0,4,27.78,13,674,398.46,92
clean,clean,1,1,1,0,241,106,318,0,1,6.18,9,675,399.45,93
clean,clean,2,2,2,0.981152,19,12,176,0,2,55.1,4.5,761,282.59,632
clean,clean,0,0,0,0,0,0,0,0,0,0,0,676,400.39,0
clean,clean,1,1,1,0,1,1,62,0,8,0.16,22,677,401.37,46
buggy,buggy,1,1,1,0,21,15,246,0,3,0.13,7,678,402.35,330
clean,clean,1,1,1,0,2,0,62,0,8,0.02,23,679,403.35,47
clean,clean,1,1,3,1.11104,35,5,434.33,1,12,33.37,34.33,6,5.72,4
clean,clean,1,1,1,0,7,0,86,0,7,66.69,21,65,49.76,50
clean,clean,1,1,1,0,1,1,368,0,7,66.72,31,66,50.76,51
clean,clean,1,1,1,0,2,2,109,1,8,66.79,25,26,21.2,21
clean,clean,1,1,1,0,8,2,41,0,2,66.8,3,27,22.2,22
clean,clean,1,3,4,1.25163,3,3,29.5,0,2,18.42,1,8,7.46,3
clean,clean,1,1,1,0,0,7,320,0,2,50.82,4,28,23.19,23
clean,clean,1,1,1,0,2,2,129,0,5,66.94,13,9,8.45,4
clean,clean,1,1,1,0,6,2,117,0,2,0.19,4,186,95.55,13
clean,clean,2,2,3,0.785842,66,46,302,0,3,10.32,8.67,67,51.71,14
clean,clean,1,1,1,0,2,2,68,0,2,0.48,10,68,52.66,6
clean,clean,1,1,1,0,0,2,168,1,4,159.81,16,0,0,0
clean,clean,1,1,1,0,0,2,168,1,5,67.79,18,1,1,1
clean,clean,1,1,1,0,1,1,290,0,2,100.92,9,2,2,0
clean,clean,1,1,1,0,1,1,321,0,5,47.39,16,3,3,1
clean,clean,1,1,1,0,4,3,150,0,4,0.69,14,1513,674.51,131
clean,clean,1,1,1,0,7,3,664,1,9,14.02,15,4,4,2
clean,clean,1,3,4,2,4,4,210,1,1,15.76,1.25,762,283.01,618
clean,clean,1,1,1,0,7,5,595,1,6,93.9,9,5,5,3
clean,clean,2,3,3,1.56565,17,0,532,0,15,4.24,50,763,284.01,103
clean,clean,1,1,1,0,5,0,597,0,7,0.02,10,6,6,4
clean,clean,1,1,1,0,3,5,633,1,7,15.08,26,7,7,5
clean,clean,1,1,1,0,3,5,478,1,5,173.57,17,8,8,6
clean,clean,1,1,1,0,9,12,476,1,6,0.01,18,9,9,7
clean,clean,1,1,1,0,9,12,631,1,8,0.02,27,10,10,8
clean,clean,0,0,0,0,0,0,0,0,0,0,0,188,97.41,0
clean,clean,1,2,2,0.282138,1089,1013,692.5,0,2,17.95,1,0,0,0
clean,clean,1,1,1,0,31,7,1097,1,4,108.97,18,11,10.99,2
clean,clean,1,1,1,0,31,7,1099,1,5,66.87,28,12,11.99,3
clean,clean,1,1,1,0,6,5,32,0,1,33.43,3,190,99.35,0
clean,clean,1,1,1,0,6,5,386,0,3,967.9,5,191,100.35,0
clean,clean,1,2,2,0.863121,4,3,162.5,1,6,208.93,11.5,13,12.98,9
clean,clean,1,13,14,3.78646,106,60,190.71,0,7,12.81,2.14,193,102.35,3
clean,clean,1,2,2,0.863121,4,3,198,1,7,34.43,14.5,14,13.98,10
clean,clean,1,1,1,0,6,5,69,0,6,0.15,8,196,105.31,112
clean,clean,1,1,4,1.71985,11,260,77.5,0,10,49.76,10.25,680,401.31,120
clean,clean,1,1,1,0,4,4,324,0,9,31.46,27,194,117.06,27
clean,clean,1,2,2,0.976874,56,0,385,0,5,70.44,7.5,1514,673.05,1213
clean,clean,1,1,1,0,1,1,83,0,17,5.77,35,681,401.44,121
clean,clean,1,5,8,1.56329,215,59,369.75,0,15,53.62,26.5,1515,673.06,1214
clean,clean,2,4,4,1.35343,219,0,113.5,0,8,1.53,10,1516,674.05,1347
clean,clean,2,2,2,1,2,2,841.5,1,7,3.38,20,15,14.85,15
clean,clean,1,1,1,0,1,1,1379,0,15,3.16,149,214,100.87,4
clean,clean,1,1,1,0,1,1,158,0,4,10.56,10,10,9.34,1
clean,clean,1,1,1,0,1,1,1124,1,7,0.14,31,16,15.85,5
buggy,buggy,1,1,3,1.41803,14,7,187.67,1,1,36.13,1.67,0,0,0
clean,clean,1,1,1,0,58,16,687,0,9,71.86,26,29,23.91,24
clean,clean,1,2,8,1.82802,41,0,234.25,0,5,100.48,2.63,17,16.84,6
clean,clean,1,1,1,0,8,8,242,0,7,3.6,21,764,283.52,34
clean,clean,1,1,1,0,0,2,168,0,2,0.38,5,1,1,1
clean,clean,1,5,5,1.93737,361,286,130.8,0,1,32.44,3.6,2,2,0
clean,clean,1,3,3,1.05298,29,1,65.33,0,6,3.76,8,1517,674.36,133
clean,clean,1,2,8,1.76379,46,0,241.13,0,8,53.34,4.5,18,17.81,7
clean,clean,2,4,7,2.34689,85,187,117.71,0,5,21.23,1.57,240,91.15,145
clean,clean,1,1,1,0,16,0,1520,0,6,94.67,35,19,18.81,8
clean,clean,1,2,9,3.07996,16,35,103.44,0,2,32.06,3.67,3,2.99,2
clean,clean,2,5,9,2.46593,803,188,321.78,1,11,40.92,12.56,11,10.31,8
clean,clean,2,2,2,0.346731,42,35,44.5,0,7,2.19,10,1518,674.77,227
clean,clean,1,1,1,0,16,0,1528,0,9,0.1,50,20,19.79,9
clean,clean,1,2,4,1.67582,32,4,231.25,1,8,244.76,6.75,21,20.79,12
clean,clean,1,1,1,0,14,1,242,0,7,0.87,22,765,284.21,35
clean,clean,1,2,4,1.71308,31,3,230,1,10,55.96,8.75,22,21.79,13
clean,clean,1,1,1,0,9,1,328,1,7,4.57,27,23,22.78,14
clean,clean,1,1,1,0,19,1,602,1,7,5.22,11,24,23.78,15
clean,clean,2,2,2,0.99403,0,33,744,0,15,3.05,75.5,241,92.09,20
clean,clean,1,1,1,0,19,1,669,1,11,5.08,17,25,24.78,16
clean,clean,1,1,1,0,31,31,345,0,2,1.02,7,4,3.99,1
clean,clean,1,1,1,0,6,1,1536,1,7,0.92,36,26,25.75,10
clean,clean,1,1,1,0,1,1,151,1,6,199.43,12,7,6.6,5
clean,clean,1,1,1,0,6,1,1544,1,10,0.79,51,27,26.74,11
clean,clean,1,1,1,0,14,1,620,1,7,0.59,12,28,27.74,17
clean,clean,1,1,1,0,14,1,687,1,11,0.57,18,29,28.74,18
clean,clean,1,1,1,0,1,1,1361,0,15,0.76,151,1519,674.83,61
clean,clean,2,4,5,1.1675,31,16,151.8,1,9,60.24,8.2,1520,675.76,1351
clean,clean,3,10,14,2.79216,0,1324,262,0,18,13.92,13.21,766,284.82,123
clean,clean,1,1,1,0,1,1,1354,0,15,0.06,153,767,285.8,72
clean,clean,4,32,51,4.88636,4339,9,53.31,0,17,0.71,3.75,1521,676.6,1509
clean,clean,1,2,2,1,2,2,74,0,1,0.02,0.5,768,286.79,619
clean,clean,3,5,5,1.77095,16,4,335.6,0,15,0.02,31,769,287.79,730
clean,clean,1,2,2,0.054894,1,318,207,0,2,0.02,1,770,288.79,621
clean,clean,1,1,1,0,1,1,66,0,2,0.01,2,771,289.79,38
clean,clean,1,1,1,0,1,3,61,0,10,4.2,25,682,399.86,122
clean,clean,1,1,1,0,1,1,59,0,10,0,26,683,400.86,123
clean,clean,1,1,1,0,2,2,59,0,10,0,27,684,401.85,124
clean,clean,1,1,1,0,0,1,97,0,2,0.04,3,772,290.78,622
clean,clean,1,1,1,0,317,0,0,0,0,0,0,1522,677.54,1218
clean,clean,1,1,1,0,1,1,59,0,10,0.02,28,685,402.83,125
buggy,buggy,1,8,13,3.06231,54,32,102.69,0,9,11.07,5.62,8,7.59,6
clean,clean,1,1,1,0,1,0,59,0,10,0.22,29,686,403.65,126
buggy,buggy,2,6,6,2.31713,326,30,343,0,6,75.32,8.83,30,29.66,12
clean,clean,1,1,1,0,6,0,448,0,11,6.27,24,30,24.75,3
clean,clean,1,1,1,0,13,0,884,0,6,120.9,111,31,30.65,19
clean,clean,1,1,1,0,13,0,969,0,7,6.78,120,32,31.64,20
clean,clean,1,3,3,1.42261,42,3,237.33,0,6,3.43,6.67,1523,677.93,95
clean,clean,1,1,1,0,9,5,897,1,7,0.04,112,33,32.64,21
clean,clean,1,1,1,0,9,5,982,1,8,0.04,121,34,33.64,22
clean,clean,1,1,1,0,1,1,1385,0,15,0.78,156,773,291.5,74
clean,clean,1,1,1,0,26,26,324,0,9,4.69,28,12,11.25,0
clean,clean,1,3,10,3.18872,12,12,109.1,0,2,6.39,3.6,5,4.96,3
clean,clean,1,1,1,0,1,1,1549,1,10,2.24,52,13,12.22,6
clean,clean,1,3,3,0.954434,41,7,150.67,0,8,26.92,11.33,242,92.74,138
clean,clean,1,2,2,1,4,0,439,0,5,3.87,9,35,34.3,1
clean,clean,2,6,6,2.21451,248,0,225.17,0,10,20.03,9,36,35.3,15
clean,clean,1,5,11,2.83173,2144,0,0,0,0,0,0,6,5.91,4
buggy,buggy,1,5,5,2.24096,97,52,145.8,0,2,6.29,4,7,6.91,2
clean,clean,1,1,1,0,1,1,1541,1,7,5.24,37,14,13.12,7
clean,clean,2,3,3,1.10331,40,5,288.67,1,7,112.1,7.67,37,36.28,37
clean,clean,2,3,3,1.08893,40,6,298.33,1,10,38.24,11,38,37.28,39
clean,clean,1,1,1,0,2,1,572,0,8,0.01,28,39,38.27,16
clean,clean,1,1,1,0,12,0,144,0,2,336.82,3,40,39.27,17
clean,clean,1,1,1,0,12,0,144,0,4,78.83,7,41,40.27,18
clean,clean,1,1,2,0.979869,146,10,897,1,4,50.48,13,15,14.11,2
clean,clean,1,3,4,1.83824,26,21,145.25,0,4,27.87,2.75,1524,675.09,1219
clean,clean,1,1,1,0,1,1,1385,0,15,4.19,157,774,290.94,75
