buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,1.386294,2.944439,3.970292,0.2762,0.32816,0.037075,5.488206,0,1.098612,3.266744,0.000878,2.995732,2.907502,3.258097
buggy,1.386294,3.367296,4.276666,0.318286,0.324365,0.054841,5.513824,0,1.386294,3.553566,0.000798,2.833213,2.777527,3.555348
clean,1.386294,1.386294,1.098612,0.325227,5.840642,0,0,0,0,0,0,2.70805,2.641647,2.70805
clean,1.386294,1.609438,1.609438,0.19058,0.068393,0.003326,5.707774,1,1.098612,3.320215,0.001664,2.890372,2.835429,3.637586
clean,0.693147,0.693147,0.693147,0,0.044951,0.044951,5.568345,0,0.693147,0.610671,0.003824,2.484907,2.401226,2.302585
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0,0
buggy,1.386294,1.94591,2.564949,0.242168,0.333658,0.022868,5.784536,1,0.693147,3.078326,0.002823,2.772589,2.698754,2.890372
clean,1.386294,2.397895,2.944439,0.391232,0.053902,0.004454,5.82024,0,1.098612,3.593246,0.001487,2.833213,2.761155,3.044522
buggy,0.693147,1.386294,1.609438,0.494578,5.874931,0,0,0,0,0,0,3.044522,2.942099,0
clean,1.386294,1.791759,1.94591,0.187647,0.322222,0.003547,5.239761,0,1.098612,2.959436,0.002661,3.091042,2.993354,3.367296
clean,0.693147,1.386294,1.609438,0.494578,5.874931,0,0,0,0,0,0,3.135494,3.042244,0.693147
clean,1.386294,1.386294,0,0,0,0,0,0,0,0,0,0.693147,0.683654,0.693147
buggy,1.386294,2.564949,3.433987,0.284676,0.167953,0.011341,5.837541,0,1.386294,3.267685,0.000682,3.178054,3.079568,3.465736
buggy,1.386294,1.609438,1.098612,0.362469,4.969813,0,0,0,0,0,0,3.218876,3.124508,3.555348
clean,1.386294,1.386294,1.098612,0.586046,0.052338,0.017752,6.326745,1,1.386294,2.507002,0.005359,2.890372,2.810438,3.178054
buggy,1.386294,1.94591,1.098612,0.155179,1.357818,0.041891,3.193558,1,0.693147,3.450632,0.021165,0,0,0
clean,1.386294,1.94591,2.079442,0.257397,0.034327,0.003789,5.933128,0,1.386294,3.851251,0.003032,2.944439,2.86724,3.295837
clean,1.386294,1.386294,1.386294,0.217657,0.119545,0.00396,5.129899,1,0.693147,3.164817,0.00396,2.995732,2.917387,3.401197
clean,0,0,0,0,0,0,0,0,0,0,0,2.944439,2.851533,0
buggy,1.386294,2.302585,2.772589,0.238523,0.263059,0.007959,5.492806,0,1.609438,3.337085,0.001927,3.044522,2.960328,3.496508
clean,1.386294,1.609438,1.609438,0.19058,0.068393,0.003326,5.707774,1,1.098612,3.807444,0.001664,2.995732,2.906967,3.713572
clean,0.693147,1.791759,2.197225,0.693147,0,0.007619,4.880906,1,1.098612,4.128646,0.00191,2.564949,2.447205,2.397895
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.639057,2.530199,2.197225
clean,1.386294,1.386294,1.386294,0.343038,0.017762,0.004876,5.325933,0,1.098612,3.430491,0.004876,0.693147,0.682355,1.386294
clean,1.386294,1.386294,0.693147,0,0.02515,0,7.542038,0,1.098612,4.005424,0.001061,3.044522,2.955686,3.78419
clean,1.386294,1.386294,0.693147,0,0.02515,0,7.542038,0,1.098612,4.005437,0.001061,3.091042,3.006415,3.850148
buggy,1.098612,1.098612,0.693147,0,0.007605,0.007605,4.882802,1,0.693147,1.446418,0.007605,3.091042,3.00307,3.332205
buggy,1.386294,2.197225,2.944439,0.315454,0.051389,0.016671,6.321148,0,1.609438,2.561922,0.0013,3.258097,3.141921,3.637586
clean,0.693147,0.693147,0.693147,0,0.007005,0.005259,7.037906,0,1.609438,0.02511,0.007878,3.295837,3.184152,2.564949
clean,1.098612,1.098612,0.693147,0,0.090287,0,4.166665,0,0.693147,4.288122,0.015625,3.135494,3.049676,3.401197
clean,1.098612,1.098612,0.693147,0,0.090287,0,4.166665,0,0.693147,4.288169,0.015625,3.178054,3.095953,3.465736
buggy,1.386294,1.609438,2.70805,0.340568,0.627029,0.006093,5.236442,1,1.386294,4.043399,0.001145,2.70805,2.592886,3.258097
clean,1.386294,1.386294,1.098612,0.390392,0.025265,0.004255,4.772801,0,1.386294,2.294611,0.012712,3.332205,3.210033,3.73767
buggy,1.098612,1.609438,1.386294,0.345084,0.021646,0.007267,5.435903,1,1.609438,3.745853,0.005818,3.135494,3.033548,3.583519
clean,1.098612,1.609438,3.091042,0.223573,0.498349,0.028033,5.56306,1,1.386294,3.101051,0.000733,2.772589,2.65602,2.944439
clean,1.386294,1.386294,0.693147,0,0.01339,0,6.505286,0,1.386294,3.530581,0.005973,2.833213,2.714821,3.433987
clean,0.693147,0.693147,0.693147,0,0,0.007605,5.572154,0,0.693147,2.68444,0.007605,3.218876,3.109525,2.772589
clean,1.386294,1.386294,0.693147,0,0.09953,0,5.439526,0,1.609438,2.654312,0.021568,3.367296,3.233559,3.806662
clean,1.098612,1.791759,1.94591,0.496333,0.121791,0.038409,5.117994,1,1.386294,3.537423,0.003008,3.401197,3.272193,3.688879
clean,1.386294,1.609438,1.609438,0.473325,0.048575,0.011207,5.587997,1,1.609438,3.541382,0.005619,3.178054,3.064045,3.951244
buggy,1.098612,1.791759,1.609438,0.195458,0.254189,0.004329,6.002404,0,1.386294,3.260198,0.002476,3.433987,3.306971,3.73767
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.258097,3.143937,2.995732
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.465736,3.333703,0
clean,1.386294,1.609438,0.693147,0,0.27027,0,5.088368,0,0.693147,4.520327,0.006187,3.496508,3.366523,3.951244
clean,1.386294,1.609438,1.386294,0.316534,0.224336,0.088648,6.749053,0,0.693147,4.395299,0.000782,3.218876,3.096084,4.007333
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.526361,3.398216,3.828641
buggy,1.386294,1.609438,1.386294,0.203937,0.038652,0.033372,5.72195,1,1.791759,2.917279,0.009804,3.295837,3.176828,3.78419
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.555348,3.429014,2.995732
buggy,1.098612,1.94591,2.890372,0.524795,7.575585,0,0,0,0,0,0,3.332205,3.217202,3.091042
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.583519,3.454011,3.367296
clean,0,0,0,0,0,0,0,0,0,0,0,3.610918,3.485137,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.637586,3.51532,3.401197
clean,1.098612,1.098612,0.693147,0,0.081493,0.063949,5.765191,1,1.609438,3.225871,0.018692,2.890372,2.749499,3.258097
clean,1.098612,1.098612,0.693147,0,0.081493,0.063949,5.765191,1,1.609438,3.230982,0.018692,2.944439,2.811208,3.332205
buggy,1.386294,1.94591,2.079442,0.480681,0.056367,0.007956,6.181827,0,1.609438,3.788594,0.001478,3.258097,3.128329,4.060443
clean,1.386294,1.94591,2.079442,0.480681,0.056367,0.007956,6.181827,0,1.609438,3.788652,0.001478,3.295837,3.171184,4.110874
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.332205,3.212278,3.044522
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.663562,3.536963,3.931826
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.688879,3.565646,3.465736
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.713572,3.593519,3.988984
clean,1.386294,1.386294,2.079442,0.169816,0.07094,0.005795,6.199748,0,1.609438,3.626661,0.002902,3.367296,3.244068,4.174387
buggy,1.386294,1.386294,2.079442,0.169816,0.07094,0.005795,6.199748,0,1.609438,3.626903,0.002902,3.401197,3.282312,4.219508
clean,1.098612,1.098612,0.693147,0,0.006211,0,5.774552,0,1.609438,2.192211,0.021572,3.73767,3.609081,4.025352
clean,1.386294,1.386294,1.098612,0.060384,0.354524,0.029642,4.765016,1,1.098612,4.381698,0.008559,3.7612,3.63579,4.204693
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.78419,3.661493,3.583519
clean,0,0,0,0,0,0,0,0,0,0,0,3.806662,3.68686,0
clean,1.386294,1.386294,1.098612,0.086586,0.021162,0,6.554408,0,1.609438,2.475563,0.006396,1.098612,1.032312,1.94591
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.828641,3.706764,3.610918
clean,1.386294,1.609438,1.386294,0.164342,0.044695,0.000431,6.651572,0,1.098612,3.435225,0.000862,3.367296,3.225693,3.871201
buggy,1.386294,1.791759,1.609438,0.40903,0.038755,0.008743,6.346338,1,1.791759,3.350963,0.005255,1.386294,1.331788,2.302585
buggy,1.386294,2.302585,3.610918,0.337583,0.135719,0.026842,6.041799,1,1.609438,3.659742,0.001389,2.995732,2.845078,3.637586
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.850148,3.722203,3.637586
clean,0,0,0,0,0,0,0,0,0,0,0,3.871201,3.74603,0
buggy,1.386294,2.890372,3.78419,0.430143,0.013684,0.007352,6.112961,1,1.609438,4.447704,0.000825,3.401197,3.253563,3.931826
buggy,1.386294,1.609438,1.791759,0.313516,0.051467,0.005571,5.978463,0,1.609438,4.08223,0.00658,1.609438,1.55695,2.564949
clean,0,0,0,0,0,0,0,0,0,0,0,3.89182,3.764495,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.912023,3.787319,3.218876
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.931826,3.809702,3.258097
buggy,1.098612,1.94591,3.218876,0.214458,0.179569,0.025497,6.093757,1,1.386294,3.296759,0.001036,3.044522,2.879906,3.295837
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.951244,3.819708,3.295837
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.970292,3.841405,3.332205
buggy,1.386294,2.197225,2.302585,0.28395,0.194828,0.014791,5.67613,0,1.791759,3.471584,0.005335,3.433987,3.277809,3.988984
buggy,0.693147,1.386294,1.94591,0.656817,2.310183,0.019581,2.243744,0,0.693147,3.025466,0.019581,3.988984,3.860715,1.098612
clean,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.995811,0
buggy,1.098612,1.791759,2.484907,0.146203,0.233229,0.011769,6.199403,1,1.386294,1.678139,0.002033,3.091042,2.927566,3.367296
clean,1.098612,1.098612,0.693147,0,0.037652,0.037652,5.344724,1,1.609438,1.613123,0.033022,1.791759,1.727317,2.397895
buggy,0.693147,1.386294,1.609438,0.289735,0.044544,0.004228,5.46806,0,1.791759,2.037705,0.008439,3.433987,3.263115,3.332205
clean,1.386294,1.609438,1.386294,0.485474,0.211186,0.038027,5.556828,1,1.098612,1.792804,0.005155,3.135494,2.966046,3.806662
clean,1.386294,1.386294,1.098612,0.248729,0.024023,0.00135,6.60845,1,1.791759,2.769208,0.008072,1.94591,1.878397,2.890372
clean,1.098612,1.386294,1.098612,0.35887,0.010567,0.002829,6.561031,1,1.609438,4.182532,0.006354,2.079442,2.018098,2.70805
clean,1.386294,1.609438,2.079442,0.191083,0.019605,0.001164,5.910797,0,1.609438,4.131481,0.003101,2.197225,2.136499,3.135494
clean,1.386294,1.386294,1.098612,0.245397,0.022974,0,6.16191,0,0.693147,2.494139,0.00211,3.178054,3.005381,3.871201
buggy,1.098612,1.791759,1.94591,0.312268,0.042709,0.011394,5.937913,1,1.791759,4.10783,0.006589,3.218876,3.046948,3.637586
clean,1.386294,1.386294,1.386294,0.20646,0.00965,0,6.629693,0,1.609438,4.328308,0.004398,2.302585,2.240566,3.258097
clean,1.098612,1.098612,0.693147,0,0.009091,0.009091,4.705016,1,1.098612,1.542189,0.0181,3.465736,3.268995,3.806662
clean,1.098612,1.098612,0.693147,0,0.0381,0.0381,5.332719,1,1.609438,4.092623,0.023982,2.397895,2.333106,3.044522
buggy,1.098612,1.791759,1.609438,0.201566,0.024154,0.013318,5.762051,1,1.791759,3.054369,0.0102,3.258097,3.083019,3.688879
buggy,1.386294,1.609438,1.098612,0.175622,0.089659,0.005886,6.637586,1,1.386294,3.156971,0.005886,3.295837,3.122651,4.007333
clean,1.386294,1.94591,1.791759,0.314847,0.013114,0,6.457292,0,1.791759,3.527187,0.005016,2.484907,2.407179,3.433987
buggy,1.386294,2.890372,3.610918,0.32082,0.1692,0.007442,6.01635,0,1.791759,3.887894,0.002645,4.007333,3.814119,4.343805
buggy,0.693147,2.197225,2.639057,0.579891,7.117206,0,0,0,0,0,0,2.564949,2.487944,0
clean,1.098612,1.098612,0.693147,0,0.009132,0.009132,4.70048,1,0.693147,5.008854,0.009132,3.496508,3.282538,3.850148
clean,1.386294,1.609438,1.609438,0.147452,0.498642,0.009718,4.859812,1,1.098612,4.218413,0.007782,3.332205,3.148389,4.060443
buggy,1.386294,1.791759,1.94591,0.379868,0.030528,0.015201,6.126869,1,1.791759,2.310342,0.006905,2.639057,2.559047,3.218876
clean,1.098612,1.386294,1.386294,0.326604,0.025318,0.020305,4.875197,1,1.098612,4.354401,0.010204,3.465736,3.24007,3.951244
clean,0.693147,0.693147,0.693147,0,0.017094,0.017094,4.762174,0,1.098612,4.645938,0.017094,4.025352,3.822995,2.484907
clean,1.609438,2.079442,1.94591,0.447013,0.005277,0.004751,5.755742,0,1.386294,4.592113,0.005277,4.043051,3.844361,4.406719
clean,1.386294,1.94591,1.791759,0.428878,0.004067,0.004646,5.8423,0,1.386294,0.011244,0.005804,3.496508,3.277892,4.025352
clean,0,0,0,0,0,0,0,0,0,0,0,4.060443,3.865501,0
clean,1.386294,1.609438,1.609438,0.215355,0.065042,0.039531,5.009301,1,1.386294,4.009672,0.011692,3.526361,3.312821,4.330733
buggy,1.386294,2.302585,3.258097,0.290342,0.029673,0.053324,6.491847,1,1.791759,3.382592,0.001578,2.70805,2.625827,3.583519
clean,1.386294,1.386294,1.386294,0.229386,0.033959,0.003066,6.075921,1,1.386294,4.215832,0.004595,2.772589,2.695694,3.663562
clean,1.386294,1.791759,1.94591,0.165884,0.0605,0.001176,7.151258,0,1.386294,4.362374,0.000654,3.555348,3.331393,4.127134
clean,1.098612,1.386294,1.609438,0.470998,0.755005,0.253449,3.387774,0,0.693147,1.960771,0.008703,2.833213,2.748738,2.833213
clean,1.386294,1.609438,1.386294,0.215633,0.02993,0.141421,5.040841,1,1.609438,4.098856,0.012937,2.890372,2.80508,3.7612
buggy,1.386294,2.639057,3.135494,0.254582,0.184737,0.032987,6.010286,0,1.791759,3.633026,0.00346,3.555348,3.329859,4.369448
clean,0.693147,0.693147,0.693147,0,0,0,0,0,1.098612,0.000312,1.098612,3.583519,3.365028,3.496508
buggy,1.386294,1.386294,2.564949,0.364982,0.067388,0.010775,5.871684,0,1.609438,4.553071,0.001177,4.077537,3.864292,4.430817
buggy,1.386294,1.386294,1.098612,0.386261,0.375021,0,5.077253,0,0.693147,4.629433,0.00937,2.944439,2.852912,3.828641
buggy,1.386294,1.94591,1.609438,0.324935,0.086305,0.058872,6.41537,0,1.609438,1.947412,0.005312,3.610918,3.386145,4.418841
clean,1.098612,1.098612,0.693147,0,0.005944,0.005944,5.818598,1,1.791759,2.897976,0.035143,2.995732,2.905113,3.583519
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,0,0,0
clean,0.693147,1.098612,0.693147,0,0.002759,0.002759,6.586172,1,0.693147,3.084809,0.00138,0,0,0
clean,1.098612,1.386294,1.098612,0.055471,0.077737,0.001795,5.632405,1,1.386294,3.302021,0.00716,3.637586,3.393427,4.143135
clean,1.386294,1.386294,1.098612,0.611043,0.0305,0.004664,6.753049,1,1.609438,3.215851,0.008147,3.663562,3.424865,4.477337
buggy,1.386294,1.609438,2.944439,0.192967,0.339684,0.015549,5.586855,0,1.791759,4.147566,0.002296,3.044522,2.927796,3.931826
buggy,1.386294,1.791759,2.197225,0.289036,0.164032,0.049062,5.890107,0,1.609438,3.528291,0.006567,3.091042,2.979852,3.988984
clean,1.386294,1.94591,2.197225,0.332785,0.178359,0.042099,5.183653,0,1.791759,3.839689,0.007024,3.135494,3.026882,4.043051
buggy,1.386294,2.079442,1.94591,0.256388,0.212285,0.020688,6.010348,0,1.791759,3.275188,0.006537,3.688879,3.444417,4.51086
clean,1.098612,1.791759,1.609438,0.26428,0.116098,0.038482,5.224671,1,1.609438,4.823446,0.018762,3.178054,3.063316,3.78419
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,1.386294,1.197078,1.386294
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.094345,3.829782,4.290459
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.110874,3.851245,3.7612
clean,0,0,0,0,0,0,0,0,0,0,0,4.127134,3.872273,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.143135,3.892865,3.78419
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.158883,3.911014,3.496508
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.174387,3.930831,3.526361
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.189655,3.950008,3.806662
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.204693,3.967537,3.828641
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.219508,3.986279,3.850148
clean,1.098612,1.098612,0.693147,0,0.005944,0.002976,5.818598,1,1.791759,3.132241,0.038016,3.218876,3.101735,3.828641
clean,1.098612,1.098612,0.693147,0,0.005944,0.002976,5.818598,1,1.791759,3.132254,0.038016,3.258097,3.145724,3.871201
buggy,1.386294,1.609438,1.609438,0.300242,0.018521,0.001218,6.423572,0,1.609438,2.931274,0.006481,4.234107,4.004199,4.564348
buggy,1.386294,1.609438,1.609438,0.300242,0.018521,0.001218,6.423572,0,1.609438,2.931743,0.006481,4.248495,4.022254,4.59512
buggy,1.386294,1.386294,1.386294,0.192149,0.109313,0.001649,5.313206,0,1.609438,2.970635,0.016367,4.26268,4.033979,4.624973
buggy,1.386294,1.386294,1.386294,0.192149,0.109313,0.001649,5.313206,0,1.609438,2.970599,0.016367,4.276666,4.051522,4.65396
clean,1.386294,1.386294,1.386294,0.138553,0.059419,0.002697,5.916876,1,1.609438,2.888203,0.006282,3.713572,3.463079,4.543295
clean,1.386294,1.386294,1.386294,0.138553,0.059419,0.002697,5.916876,1,1.609438,2.888448,0.006282,3.73767,3.493922,4.574711
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,1.609438,1.450951,1.609438
clean,1.386294,1.386294,1.098612,0.076,0.110419,0.003532,4.958169,1,1.386294,3.838297,0.010557,4.290459,4.066069,4.682131
buggy,0.693147,1.386294,1.098612,0.450635,5.902633,0,0,0,0,0,0,3.583519,3.29517,1.386294
buggy,1.791759,2.197225,1.94591,0.456708,0.004716,0.004716,5.762994,1,1.609438,4.831158,0.01149,4.304065,4.081305,4.727388
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.317488,4.098001,4.543295
clean,0,0,0,0,0,0,0,0,0,0,0,4.330733,4.114471,0
buggy,0,0,0,0,0,0,0,0,0,0,0,4.343805,4.130672,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.356709,4.146611,4.007333
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.369448,4.162273,4.025352
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.382027,4.177722,4.043051
clean,0,0,0,0,0,0,0,0,0,0,0,4.394449,4.192936,0
buggy,1.386294,1.609438,1.386294,0.038944,0.275597,0.225743,5.811141,1,1.609438,3.894397,0.006983,3.7612,3.519244,4.60517
clean,1.386294,1.609438,1.386294,0.038944,0.275597,0.225743,5.811141,1,1.609438,3.894384,0.006983,3.78419,3.548433,4.634729
clean,1.386294,1.609438,1.386294,0.038944,0.275597,0.225743,5.811141,1,1.609438,3.894437,0.006983,3.806662,3.576794,4.663439
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.406719,4.205728,4.060443
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.418841,4.220525,4.077537
clean,1.386294,1.791759,1.791759,0.23208,0.070103,0.018868,5.129899,1,1.791759,2.146687,0.009479,4.430817,4.234204,4.795791
clean,1.386294,1.791759,1.791759,0.23208,0.070103,0.018868,5.129899,1,1.791759,2.200792,0.009479,4.442651,4.247512,4.820282
clean,1.386294,1.609438,1.098612,0.191247,0.013841,0.000697,6.577166,1,1.609438,2.801286,0.012466,3.610918,3.326093,4.174387
clean,1.098612,1.098612,0.693147,0,0.005277,0.066521,5.247024,1,1.098612,2.766395,0.015748,3.637586,3.360861,3.988984
clean,1.386294,1.609438,1.386294,0.053688,0.013006,0.001617,7.726323,0,1.791759,4.483476,0.001176,3.828641,3.600021,4.691348
clean,1.386294,1.94591,2.079442,0.27194,0.081025,0.015148,5.075867,1,1.791759,3.084608,0.008048,4.454347,4.258605,4.844187
buggy,1.386294,1.609438,1.098612,0.340492,0.062889,0,5.915528,0,1.791759,4.2149,0.013432,3.295837,3.16488,4.189655
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.465908,4.266727,4.143135
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.477337,4.280653,4.158883
clean,1.386294,1.386294,1.098612,0.443879,1.113001,0.014389,3.569533,0,1.098612,4.343968,0.028573,3.850148,3.618961,4.718499
buggy,1.098612,1.098612,1.386294,0.442038,0.032146,0.000907,5.908987,1,1.386294,5.124333,0.002719,3.871201,3.643231,4.343805
